mixing,dielectric,ag_frac,t_m,bot,top,T_vis,eps_h,R_s,g,LSG,Ag,heating,cooling
ema,AZO,0.0,11.0,48.0,48.0,0.7687,0.0545,3.2,0.589,1.3,0.0,74.4,65.2
ema,AZO,0.05,9.0,59.0,48.0,0.7958,0.0635,3.69,0.63,1.26,0.0067,76.3,61.7
ema,AZO,0.1,9.0,59.0,48.0,0.7995,0.0609,3.38,0.632,1.27,0.0131,76.5,61.6
ema,AZO,0.15,9.0,59.0,48.0,0.8032,0.0591,3.19,0.634,1.27,0.0192,76.5,61.4
ema,AZO,0.2,9.0,59.0,48.0,0.8068,0.0579,3.06,0.635,1.27,0.0251,76.3,61.1
ema,AZO,0.25,9.0,48.0,48.0,0.8107,0.0573,2.98,0.645,1.26,0.0308,76.1,59.7
ema,AZO,0.3,9.0,48.0,48.0,0.8146,0.0566,2.92,0.647,1.26,0.0362,75.8,59.4
ema,AZO,0.35,9.0,15.0,37.0,0.8146,0.0526,2.95,0.651,1.25,0.0414,75.7,58.6
ema,AZO,0.4,9.0,15.0,37.0,0.8198,0.0522,2.92,0.653,1.26,0.0464,75.5,58.3
ema,AZO,0.45,9.0,15.0,37.0,0.8252,0.0519,2.91,0.655,1.26,0.0512,75.3,58.0
ema,AZO,0.5,9.0,15.0,37.0,0.8306,0.0518,2.91,0.657,1.26,0.0559,75.1,57.8
ema,AZO,0.55,9.0,15.0,37.0,0.8362,0.0518,2.92,0.659,1.27,0.0604,74.8,57.4
ema,AZO,0.6,9.0,15.0,37.0,0.8419,0.052,2.95,0.661,1.27,0.0647,74.4,57.0
ema,AZO,0.65,9.0,15.0,37.0,0.8477,0.0523,2.99,0.663,1.28,0.0688,73.9,56.6
ema,AZO,0.7,9.0,15.0,37.0,0.8536,0.0528,3.06,0.665,1.28,0.0729,73.4,56.2
ema,AZO,0.75,9.0,15.0,37.0,0.8596,0.0536,3.15,0.667,1.29,0.0768,72.8,55.7
ema,AZO,0.8,9.0,15.0,37.0,0.8656,0.0547,3.28,0.668,1.3,0.0805,72.1,55.2
ema,AZO,0.85,9.0,15.0,37.0,0.8717,0.0564,3.47,0.67,1.3,0.0842,71.3,54.6
ema,AZO,0.9,9.0,15.0,37.0,0.8776,0.0589,3.74,0.672,1.31,0.0877,70.3,53.9
ema,AZO,0.95,9.0,15.0,37.0,0.8833,0.0629,4.18,0.673,1.31,0.0911,68.9,53.0
ema,AZO,1.0,10.0,26.0,37.0,0.8801,0.0609,4.2,0.65,1.35,0.1049,65.2,52.8
ema,Si3N4,0.0,11.0,59.0,48.0,0.8593,0.0478,3.41,0.729,1.18,0.0,88.9,55.9
ema,Si3N4,0.05,11.0,59.0,48.0,0.8638,0.0428,2.98,0.732,1.18,0.0082,89.3,55.7
ema,Si3N4,0.1,10.0,59.0,48.0,0.8778,0.0456,3.13,0.76,1.16,0.0146,89.3,50.4
ema,Si3N4,0.15,10.0,59.0,48.0,0.8817,0.0434,2.95,0.762,1.16,0.0214,89.1,49.8
ema,Si3N4,0.2,10.0,59.0,48.0,0.8857,0.0419,2.82,0.764,1.16,0.0279,88.7,49.2
ema,Si3N4,0.25,9.0,59.0,48.0,0.8971,0.0471,3.17,0.791,1.13,0.0308,88.2,39.6
ema,Si3N4,0.3,9.0,59.0,48.0,0.9009,0.0462,3.09,0.793,1.14,0.0362,87.6,38.1
ema,Si3N4,0.35,10.0,59.0,48.0,0.8977,0.0394,2.63,0.77,1.17,0.046,87.0,47.2
ema,Si3N4,0.4,10.0,59.0,48.0,0.9018,0.039,2.61,0.773,1.17,0.0516,86.1,46.4
ema,Si3N4,0.45,10.0,59.0,48.0,0.906,0.0387,2.59,0.775,1.17,0.0569,85.0,45.6
ema,Si3N4,0.5,10.0,48.0,48.0,0.9007,0.0386,2.59,0.778,1.16,0.0621,83.8,43.6
ema,Si3N4,0.55,9.0,48.0,48.0,0.9085,0.0446,3.01,0.805,1.13,0.0604,82.8,25.6
ema,Si3N4,0.6,9.0,59.0,37.0,0.9001,0.0444,3.04,0.784,1.15,0.0647,81.7,40.5
ema,Si3N4,0.65,9.0,48.0,37.0,0.9032,0.0448,3.09,0.789,1.14,0.0688,80.5,37.8
ema,Si3N4,0.7,9.0,37.0,37.0,0.9048,0.0454,3.16,0.788,1.15,0.0729,79.2,38.2
ema,Si3N4,0.75,9.0,15.0,26.0,0.9004,0.0459,3.26,0.735,1.23,0.0768,78.0,50.4
ema,Si3N4,0.8,9.0,15.0,26.0,0.9076,0.0473,3.4,0.737,1.23,0.0805,76.6,49.5
