# STALE: scores in this file predate the weighting correction of 2026-08-25
# (cost and supply risk zeroed as silver proxies). Physical columns are
# unaffected; the score column is not. Regenerate with a full metal sweep.
system,t_nm,T_vis,eps_h,R_s,Ag_g_m2,cost,risk,score,spec
Cu,11.0,0.752,0.0517,3.26,0.0,0.01,4.5,71.7,False
Cu90Ag10,9.0,0.783,0.0769,5.54,0.013,0.11,4.8,70.8,False
Cu90Zn10,9.0,0.768,0.0797,5.76,0.0,0.01,4.5,69.4,False
Cu75Ag25,10.0,0.784,0.078,5.92,0.034,0.28,5.2,68.0,False
Ag90Cu10,9.0,0.866,0.0792,5.99,0.088,0.71,7.2,65.5,False
Ag50Cu50,10.0,0.809,0.0844,6.68,0.062,0.51,6.0,65.3,False
Ag,10.0,0.876,0.0603,4.18,0.105,0.85,7.5,65.0,True
Ag75Cu25,9.0,0.847,0.0889,7.05,0.077,0.63,6.8,64.8,False
Cu75Zn25,9.0,0.757,0.095,7.4,0.0,0.01,4.5,64.4,False
Cu90Al10,9.0,0.731,0.0819,6.12,0.0,0.01,4.2,62.2,False
Ag90Zn10,9.0,0.855,0.0981,8.08,0.086,0.7,7.2,61.0,False
Cu90Ni10,9.0,0.734,0.0965,7.57,0.0,0.01,4.5,59.7,False
Ag90Al10,9.0,0.809,0.0867,6.84,0.085,0.69,7.0,59.5,False
Cu50Zn50,9.0,0.743,0.1109,9.09,0.0,0.0,4.5,58.3,False
Ag90Ni10,9.0,0.82,0.1006,8.29,0.088,0.72,7.2,56.9,False
Ag75Zn25,10.0,0.812,0.1138,9.96,0.081,0.66,6.8,55.3,False
Zn75Cu25,9.0,0.732,0.1174,9.66,0.0,0.0,4.5,54.8,False
Zn90Cu10,9.0,0.726,0.1174,9.5,0.0,0.0,4.5,53.6,False
Zn,9.0,0.723,0.1159,9.17,0.0,0.0,4.5,53.2,False
Zn90Ag10,9.0,0.733,0.1299,11.15,0.01,0.09,4.8,50.8,False
Ag50Zn50,11.0,0.751,0.1226,10.96,0.061,0.5,6.0,49.9,False
Zn75Ag25,10.0,0.733,0.1303,11.59,0.029,0.23,5.2,49.0,False
Ag75Ni25,9.0,0.746,0.1306,11.61,0.078,0.64,6.9,44.4,False
Au,11.0,0.787,0.0645,4.59,0.0,136.48,7.0,43.9,False
Ag75Al25,9.0,0.7,0.1027,8.72,0.071,0.58,6.1,43.1,False
Au90Ag10,12.0,0.781,0.0733,5.69,0.013,134.0,7.0,41.5,False
Cu90Ti10,10.0,0.706,0.1501,14.07,0.0,0.01,4.4,41.1,False
Zn90Al10,9.0,0.683,0.1258,10.7,0.0,0.0,4.2,40.9,False
Cu75Ni25,9.0,0.683,0.1257,10.77,0.0,0.01,4.6,40.5,False
Au75Ag25,12.0,0.787,0.0881,7.3,0.032,111.71,7.1,38.9,False
Ag90Au10,9.0,0.867,0.091,7.32,0.085,11.78,7.5,38.8,False
Ag75Au25,10.0,0.842,0.1008,8.56,0.079,31.48,7.4,37.0,False
Ag50Au50,11.0,0.811,0.104,9.0,0.058,68.45,7.2,36.6,False
Cu75Al25,9.0,0.654,0.0964,7.86,0.0,0.0,3.9,25.8,False
Al,22.0,0.045,0.0256,1.55,0.0,0.0,2.0,13.7,False
Al90Cu10,22.0,0.056,0.0328,2.23,0.0,0.0,2.2,13.5,False
Al90Zn10,22.0,0.055,0.0374,2.69,0.0,0.0,2.2,13.4,False
Al75Cu25,22.0,0.077,0.0401,2.94,0.0,0.0,2.6,13.3,False
Cu50Al50,22.0,0.14,0.0447,3.34,0.0,0.01,3.2,13.2,False
Al90Ag10,22.0,0.055,0.0337,2.33,0.024,0.19,2.5,13.1,False
Al75Zn25,22.0,0.073,0.05,3.94,0.0,0.0,2.6,13.0,False
Zn75Al25,22.0,0.235,0.0606,4.72,0.0,0.0,3.9,12.7,False
Al50Zn50,22.0,0.127,0.061,4.96,0.0,0.0,3.2,12.7,False
Ni,22.0,0.247,0.0675,3.28,0.0,0.03,5.0,12.3,False
Ni90Cu10,22.0,0.263,0.0683,4.11,0.0,0.03,5.0,12.3,False
Cu50Ni50,22.0,0.349,0.0674,5.13,0.0,0.02,4.8,12.3,False
Ni75Cu25,22.0,0.292,0.07,4.91,0.0,0.02,4.9,12.2,False
Al75Ag25,19.0,0.113,0.0481,3.69,0.051,0.42,3.4,12.1,False
Ni90Ag10,22.0,0.267,0.0682,4.17,0.034,0.3,5.2,11.6,False
Cr,22.0,0.103,0.0948,5.5,0.0,0.01,5.5,11.2,False
Ag50Al50,14.0,0.33,0.0725,5.97,0.074,0.61,4.8,10.6,False
Cu75Ti25,22.0,0.425,0.1174,10.5,0.0,0.01,4.2,10.5,False
Ni75Ag25,20.0,0.335,0.0767,5.57,0.072,0.6,5.6,10.4,False
Ag50Ni50,15.0,0.517,0.0975,8.04,0.096,0.79,6.2,8.9,False
Cu50Ti50,22.0,0.364,0.1592,15.11,0.0,0.01,4.0,8.2,False
Ti75Cu25,22.0,0.322,0.1763,16.72,0.0,0.01,3.8,6.7,False
Ti90Cu10,22.0,0.298,0.1862,16.48,0.0,0.01,3.6,5.5,False
Ti,7.0,0.588,0.336,35.98,0.0,0.0,3.5,1.2,False
