metal,dielectric,t_nm,T_vis,eps_h,R_s,Ag_g_per_m2,score
Ag,AZO,10.0,0.876,0.0603,4.18,0.105,66.6
Ag,ZnO,10.0,0.855,0.0612,4.44,0.105,64.3
Ag,SnO2,10.0,0.896,0.0765,4.44,0.105,65.1
Ag,TiO2,10.0,0.838,0.0681,4.44,0.105,61.2
Ag,Si3N4,10.0,0.939,0.0646,4.44,0.105,68.0
Ag,ITO,10.0,0.894,0.0589,3.78,0.105,68.7
Ag,FTO,10.0,0.901,0.0707,4.23,0.105,66.7
Ag,GZO,10.0,0.869,0.0634,4.16,0.105,65.4
Cu,AZO,11.0,0.752,0.0517,3.26,0.0,68.4
Cu,ZnO,11.0,0.739,0.0505,3.41,0.0,65.6
Cu,SnO2,11.0,0.774,0.0628,3.41,0.0,70.7
Cu,TiO2,15.0,0.758,0.0363,2.16,0.0,72.6
Cu,Si3N4,11.0,0.808,0.0533,3.41,0.0,78.8
Cu,ITO,11.0,0.764,0.0514,3.01,0.0,71.1
Cu,FTO,11.0,0.771,0.0598,3.29,0.0,70.8
Cu,GZO,11.0,0.748,0.0544,3.25,0.0,66.9
Al,AZO,15.0,0.129,0.0376,2.5,0.0,9.6
Al,ZnO,15.0,0.136,0.0398,2.59,0.0,9.5
Al,SnO2,15.0,0.152,0.0484,2.59,0.0,9.3
Al,TiO2,15.0,0.279,0.0437,2.59,0.0,9.4
Al,Si3N4,15.0,0.163,0.0415,2.59,0.0,9.5
Al,ITO,15.0,0.122,0.0392,2.35,0.0,9.5
Al,FTO,15.0,0.131,0.0445,2.51,0.0,9.4
Al,GZO,15.0,0.133,0.0392,2.49,0.0,9.5
Au,AZO,11.0,0.787,0.0645,4.59,0.0,72.7
Au,ZnO,12.0,0.763,0.0592,4.3,0.0,69.3
Au,SnO2,14.0,0.782,0.0601,3.42,0.0,72.9
Au,TiO2,15.0,0.779,0.0485,3.1,0.0,74.6
Au,Si3N4,14.0,0.819,0.0504,3.42,0.0,81.3
Au,ITO,11.0,0.804,0.0624,4.11,0.0,76.0
Au,FTO,12.0,0.798,0.0684,4.1,0.0,73.7
Au,GZO,12.0,0.774,0.0609,4.04,0.0,71.1
Cu90Zn10,AZO,11.0,0.752,0.0517,3.26,0.0,68.4
Cu90Zn10,ZnO,11.0,0.739,0.0505,3.41,0.0,65.6
Cu90Zn10,SnO2,11.0,0.774,0.0628,3.41,0.0,70.7
Cu90Zn10,TiO2,15.0,0.758,0.0363,2.16,0.0,72.6
Cu90Zn10,Si3N4,11.0,0.808,0.0533,3.41,0.0,78.8
Cu90Zn10,ITO,11.0,0.764,0.0514,3.01,0.0,71.1
Cu90Zn10,FTO,11.0,0.771,0.0598,3.29,0.0,70.8
Cu90Zn10,GZO,11.0,0.748,0.0544,3.25,0.0,66.9
