n_metal,metal,diel,geom,T_vis,g,LSG,eps_h,R_s,Ag,cooling,heating
3,Ag,Si3N4,15/10/45/…/15,0.772,0.427,1.81,0.0254,1.48,0.315,20.4,15.1
2,Ag,Si3N4,15/12/60/…/15,0.819,0.464,1.76,0.0248,1.67,0.252,21.9,17.5
2,Ag,AZO,15/10/60/…/15,0.746,0.43,1.73,0.0329,2.13,0.21,20.6,15.0
3,Ag,AZO,37/10/75/…/37,0.673,0.413,1.63,0.0348,1.39,0.315,15.7,9.2
2,Cu,AZO,15/15/75/…/15,0.423,0.274,1.54,0.0204,1.05,0.0,39.0,13.8
3,Cu,Si3N4,15/11/45/…/15,0.437,0.306,1.43,0.0215,1.14,0.0,37.2,13.8
1,Cu,AZO,48/14/48,0.726,0.523,1.39,0.0412,2.28,0.0,68.2,67.6
2,Cu,Si3N4,59/13/105/…/59,0.716,0.516,1.39,0.0244,1.33,0.0,68.9,67.3
3,Cu,AZO,15/11/60/…/15,0.381,0.276,1.38,0.025,1.1,0.0,36.2,13.7
1,Ag,AZO,26/10/26,0.862,0.634,1.36,0.059,4.24,0.105,53.3,64.0
1,Ag,Si3N4,15/11/15,0.843,0.635,1.33,0.0491,3.82,0.115,50.5,60.9
1,Cu,Si3N4,37/15/37,0.774,0.598,1.29,0.0305,2.16,0.0,67.3,79.6
