mixing_model,dielectric,Ag_fraction,metal_nm,bottom_nm,top_nm,T_vis,T_sol,emissivity_h,R_sheet,g_value,LSG,U_g,Ag_g_per_m2,cost_usd_per_m2,score,limiting,meets_spec
solid_solution,AZO,0.0,14.0,48.0,48.0,0.726,0.4478,0.0412,2.28,0.523,1.39,1.113,0.0,0.01,68.2,T_vis,False
solid_solution,AZO,0.05,14.0,48.0,48.0,0.729,0.4488,0.045,2.68,0.524,1.39,1.126,0.0104,0.094,67.3,T_vis,False
solid_solution,AZO,0.1,14.0,48.0,48.0,0.7321,0.45,0.0483,3.03,0.524,1.4,1.136,0.0204,0.175,66.3,T_vis,False
solid_solution,AZO,0.15,14.0,48.0,48.0,0.7354,0.4513,0.0511,3.33,0.525,1.4,1.146,0.0299,0.252,65.4,T_vis,False
solid_solution,AZO,0.2,14.0,48.0,48.0,0.7389,0.4528,0.0535,3.59,0.526,1.4,1.154,0.0391,0.326,64.6,T_vis,False
solid_solution,AZO,0.25,14.0,48.0,48.0,0.7425,0.4544,0.0556,3.8,0.527,1.41,1.16,0.0479,0.397,63.7,T_vis,False
solid_solution,AZO,0.3,14.0,48.0,48.0,0.7464,0.4563,0.0572,3.98,0.528,1.41,1.166,0.0563,0.465,62.9,T_vis,False
solid_solution,AZO,0.35,14.0,48.0,48.0,0.7504,0.4582,0.0585,4.12,0.529,1.42,1.17,0.0644,0.53,62.0,T_vis,False
solid_solution,AZO,0.4,13.0,59.0,48.0,0.7636,0.473,0.0634,4.57,0.543,1.41,1.186,0.067,0.551,61.2,T_vis,False
solid_solution,AZO,0.45,13.0,59.0,48.0,0.7677,0.4751,0.064,4.64,0.544,1.41,1.188,0.074,0.607,60.4,T_vis,False
solid_solution,AZO,0.5,13.0,59.0,48.0,0.7719,0.4774,0.0642,4.67,0.546,1.41,1.188,0.0807,0.661,59.5,T_vis,False
solid_solution,AZO,0.55,13.0,59.0,48.0,0.7763,0.4799,0.0641,4.67,0.547,1.42,1.188,0.0872,0.713,58.7,Ag_g_per_m2,False
solid_solution,AZO,0.6,13.0,59.0,48.0,0.7809,0.4825,0.0636,4.62,0.548,1.43,1.186,0.0934,0.764,57.9,Ag_g_per_m2,False
solid_solution,AZO,0.65,12.0,59.0,48.0,0.8008,0.5086,0.0681,5.0,0.572,1.4,1.201,0.0918,0.75,57.2,Ag_g_per_m2,True
solid_solution,AZO,0.7,12.0,59.0,48.0,0.8057,0.5115,0.0668,4.87,0.573,1.41,1.197,0.0972,0.793,56.5,Ag_g_per_m2,True
solid_solution,AZO,0.75,12.0,59.0,48.0,0.8108,0.5147,0.0652,4.7,0.575,1.41,1.191,0.1023,0.835,55.8,Ag_g_per_m2,True
solid_solution,AZO,0.8,11.0,59.0,48.0,0.8291,0.5418,0.0692,5.0,0.6,1.38,1.204,0.0984,0.803,55.1,Ag_g_per_m2,False
solid_solution,AZO,0.85,11.0,59.0,48.0,0.8345,0.5453,0.0666,4.73,0.602,1.39,1.196,0.1029,0.839,54.6,Ag_g_per_m2,True
solid_solution,AZO,0.9,11.0,59.0,48.0,0.8401,0.5491,0.0635,4.39,0.604,1.39,1.186,0.1072,0.873,54.1,Ag_g_per_m2,True
solid_solution,AZO,0.95,11.0,48.0,37.0,0.852,0.5664,0.0581,4.07,0.612,1.39,1.168,0.1113,0.907,53.7,Ag_g_per_m2,True
solid_solution,AZO,1.0,10.0,15.0,26.0,0.8664,0.6024,0.0591,4.28,0.635,1.36,1.172,0.1049,0.854,53.5,Ag_g_per_m2,True
