mixing_model,dielectric,Ag_fraction,metal_nm,bottom_nm,top_nm,T_vis,T_sol,emissivity_h,R_sheet,g_value,LSG,U_g,Ag_g_per_m2,cost_usd_per_m2,score,limiting,meets_spec
ema,Si3N4,0.0,11.0,59.0,48.0,0.8593,0.6826,0.0478,3.41,0.729,1.18,1.135,0.0,0.008,88.9,T_vis,True
ema,Si3N4,0.05,11.0,59.0,48.0,0.8638,0.6875,0.0428,2.98,0.732,1.18,1.118,0.0082,0.074,89.3,T_vis,True
ema,Si3N4,0.1,10.0,59.0,48.0,0.8778,0.7193,0.0456,3.13,0.76,1.16,1.127,0.0146,0.125,89.3,supply_risk,True
ema,Si3N4,0.15,10.0,59.0,48.0,0.8817,0.7231,0.0434,2.95,0.762,1.16,1.12,0.0214,0.18,89.1,supply_risk,True
ema,Si3N4,0.2,10.0,59.0,48.0,0.8857,0.7267,0.0419,2.82,0.764,1.16,1.115,0.0279,0.233,88.7,supply_risk,True
ema,Si3N4,0.25,9.0,59.0,48.0,0.8971,0.7574,0.0471,3.17,0.791,1.13,1.133,0.0308,0.255,88.2,supply_risk,True
ema,Si3N4,0.3,9.0,59.0,48.0,0.9009,0.7608,0.0462,3.09,0.793,1.14,1.13,0.0362,0.299,87.6,supply_risk,True
ema,Si3N4,0.35,10.0,59.0,48.0,0.8977,0.7371,0.0394,2.63,0.77,1.17,1.107,0.046,0.379,87.0,Ag_g_per_m2,True
ema,Si3N4,0.4,10.0,59.0,48.0,0.9018,0.7404,0.039,2.61,0.773,1.17,1.106,0.0516,0.424,86.1,Ag_g_per_m2,True
ema,Si3N4,0.45,10.0,59.0,48.0,0.906,0.7438,0.0387,2.59,0.775,1.17,1.105,0.0569,0.467,85.0,Ag_g_per_m2,True
ema,Si3N4,0.5,10.0,48.0,48.0,0.9007,0.7478,0.0386,2.59,0.778,1.16,1.104,0.0621,0.509,83.8,Ag_g_per_m2,True
ema,Si3N4,0.55,9.0,48.0,48.0,0.9085,0.7774,0.0446,3.01,0.805,1.13,1.124,0.0604,0.494,82.8,supply_risk,True
ema,Si3N4,0.6,9.0,59.0,37.0,0.9001,0.7592,0.0444,3.04,0.784,1.15,1.124,0.0647,0.529,81.7,supply_risk,True
ema,Si3N4,0.65,9.0,48.0,37.0,0.9032,0.7651,0.0448,3.09,0.789,1.14,1.125,0.0688,0.562,80.5,supply_risk,True
ema,Si3N4,0.7,9.0,37.0,37.0,0.9048,0.7631,0.0454,3.16,0.788,1.15,1.127,0.0729,0.595,79.2,supply_risk,True
ema,Si3N4,0.75,9.0,15.0,26.0,0.9004,0.7086,0.0459,3.26,0.735,1.23,1.129,0.0768,0.626,78.0,supply_risk,True
ema,Si3N4,0.8,9.0,15.0,26.0,0.9076,0.7128,0.0473,3.4,0.737,1.23,1.133,0.0805,0.657,76.6,supply_risk,True
ema,Si3N4,0.85,9.0,15.0,26.0,0.9148,0.7168,0.0494,3.6,0.74,1.24,1.14,0.0842,0.686,75.1,supply_risk,True
ema,Si3N4,0.9,9.0,15.0,26.0,0.922,0.7206,0.0525,3.9,0.742,1.24,1.15,0.0877,0.715,73.3,supply_risk,True
ema,Si3N4,0.95,9.0,15.0,26.0,0.9288,0.7237,0.0574,4.37,0.745,1.25,1.166,0.0911,0.742,71.3,supply_risk,True
ema,Si3N4,1.0,10.0,15.0,26.0,0.9263,0.6957,0.0568,4.44,0.717,1.29,1.164,0.1049,0.854,67.5,Ag_g_per_m2,True
