mixing_model,dielectric,Ag_fraction,metal_nm,bottom_nm,top_nm,T_vis,T_sol,emissivity_h,R_sheet,g_value,LSG,U_g,Ag_g_per_m2,cost_usd_per_m2,score,limiting,meets_spec
ema,Si3N4,0.0,15.0,48.0,37.0,0.7814,0.5485,0.0305,2.16,0.603,1.3,1.077,0.0,0.011,67.6,LSG,False
ema,Si3N4,0.05,15.0,48.0,37.0,0.7873,0.5533,0.0275,1.91,0.606,1.3,1.067,0.0112,0.101,67.3,LSG,False
ema,Si3N4,0.1,15.0,48.0,37.0,0.7929,0.5576,0.0258,1.77,0.608,1.3,1.061,0.0218,0.187,66.8,LSG,False
ema,Si3N4,0.15,15.0,48.0,37.0,0.7984,0.5618,0.0247,1.69,0.611,1.31,1.057,0.0321,0.27,66.1,LSG,False
ema,Si3N4,0.2,15.0,48.0,37.0,0.8039,0.5659,0.024,1.63,0.613,1.31,1.055,0.0419,0.349,65.4,LSG,True
ema,Si3N4,0.25,15.0,37.0,37.0,0.805,0.5632,0.0234,1.59,0.612,1.32,1.053,0.0513,0.425,64.7,LSG,True
ema,Si3N4,0.3,15.0,37.0,37.0,0.8112,0.5675,0.023,1.56,0.614,1.32,1.051,0.0603,0.498,63.9,LSG,True
ema,Si3N4,0.35,15.0,37.0,37.0,0.8177,0.5718,0.0227,1.54,0.617,1.33,1.05,0.069,0.568,63.0,LSG,True
ema,Si3N4,0.4,14.0,15.0,26.0,0.7685,0.5232,0.0243,1.67,0.569,1.35,1.056,0.0722,0.593,62.1,LSG,False
ema,Si3N4,0.45,14.0,15.0,26.0,0.7752,0.5279,0.0241,1.66,0.572,1.35,1.055,0.0797,0.654,61.4,LSG,False
ema,Si3N4,0.5,13.0,15.0,26.0,0.803,0.5613,0.0265,1.83,0.602,1.33,1.063,0.0807,0.661,60.6,LSG,True
ema,Si3N4,0.55,13.0,15.0,26.0,0.8102,0.5661,0.0265,1.83,0.605,1.34,1.063,0.0872,0.713,59.8,LSG,True
ema,Si3N4,0.6,13.0,15.0,26.0,0.8176,0.571,0.0266,1.85,0.608,1.34,1.064,0.0934,0.764,58.9,Ag_g_per_m2,True
ema,Si3N4,0.65,13.0,15.0,26.0,0.8252,0.5759,0.0268,1.87,0.611,1.35,1.064,0.0994,0.812,58.0,Ag_g_per_m2,True
ema,Si3N4,0.7,13.0,15.0,26.0,0.8329,0.5809,0.0271,1.91,0.614,1.36,1.065,0.1053,0.859,57.0,Ag_g_per_m2,True
ema,Si3N4,0.75,12.0,15.0,26.0,0.8599,0.6154,0.0308,2.18,0.645,1.33,1.078,0.1023,0.835,56.0,g_value,True
ema,Si3N4,0.8,12.0,15.0,26.0,0.8679,0.6203,0.0316,2.26,0.648,1.34,1.081,0.1074,0.876,55.1,Ag_g_per_m2,True
ema,Si3N4,0.85,11.0,15.0,15.0,0.8251,0.6035,0.0369,2.69,0.627,1.32,1.099,0.1029,0.839,54.0,Ag_g_per_m2,True
ema,Si3N4,0.9,11.0,15.0,15.0,0.8317,0.6081,0.0391,2.89,0.63,1.32,1.106,0.1072,0.873,53.1,Ag_g_per_m2,True
ema,Si3N4,0.95,11.0,15.0,15.0,0.8381,0.6122,0.0426,3.22,0.633,1.32,1.118,0.1113,0.907,52.0,Ag_g_per_m2,True
ema,Si3N4,1.0,11.0,15.0,15.0,0.8435,0.6154,0.0491,3.82,0.635,1.33,1.139,0.1154,0.94,50.5,Ag_g_per_m2,True
